RENT_ISBN,RENT_TITLE,RENT_USER,RENTAL_DATA,RETURN_DATA,RETURN_VALUE
123123,냥냥 라이온,010-3444-1224,2022-06-21,2022-07-05,True
123123,냥냥 라이온,010-3444-1224,2022-06-21,2022-07-05,False
11111,호이호이,010-3444-1214,2022-06-21,2022-07-05,True
11111,호이호이,010-3444-1214,2022-06-21,2022-07-05,False
11111,호이호이,010-3444-1214,2022-06-21,2022-07-05,False
11111,호이호이,010-3444-1214,2022-06-21,2022-07-05,False
11111,호이호이,010-3444-1224,2022-06-21,2022-07-05,True
11111,호이호이,010-3444-1224,2022-06-21,2022-07-05,False
11111,호이호이,010-3444-1224,2022-06-21,2022-07-05,False
11111,호이호이,010-3444-1224,2022-06-21,2022-07-05,False
55555,빠라빠,010-3444-1224,2022-06-21,2022-07-05,False
55555,빠라빠,010-3444-1224,2022-06-21,2022-07-05,False
5454,ㅊ닟니,010-3444-1224,2022-06-21,2022-07-05,True
5454,ㅊ닟니,010-3444-1224,2022-06-21,2022-07-05,False
5454,ㅊ닟니,010-3444-1224,2022-06-21,2022-07-05,False
123123,냥냥 라이온,010-3444-1224,2022-06-21,2022-07-05,False
123123,냥냥 라이온,010-3444-1224,2022-06-21,2022-07-05,False
